module_id,implementation,mutation,baseline,mutated,changed,restored_identical,source_sha256_before,source_sha256_after,result
B2.4,models_evc.run_interval_fuzzy,"every branch guard inverted (3 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED TypeError,YES,YES,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,PROVEN
B2.5,models_evc.run_z_numbers,"every branch guard inverted (5 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED TypeError,YES,YES,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,PROVEN
B2.6,models_evc.run_plts,"every branch guard inverted (15 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED TypeError,YES,YES,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,PROVEN
B2.8,models_evc.run_brb,"every branch guard inverted (1 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED ZeroDivisionError,YES,YES,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,c0a7a673765214dc42f10e4f1a2c2673d3019564d70c8be9151a59a9753c5ce8,PROVEN
B3.1,models_decision.run_abm_governance,"every branch guard inverted (1 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED KeyError,YES,YES,cad526ba4a466ba3361929defc844d74d16e20f19f35eda7e1d9f8e37ab9327b,cad526ba4a466ba3361929defc844d74d16e20f19f35eda7e1d9f8e37ab9327b,PROVEN
B3.2,models_gov.run_far_threshold,"comparison operators reversed (7 sites, isolated copy)","status=Yellow insufficient=False metric=FAR Part 34: 10% overrun, threshold 25% (15% headroom)",status=None insufficient=True metric=No overrun against the reporting threshold is measurable: the cost per,YES,YES,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,PROVEN
B3.3,models_gov.run_omb_a11_check,"comparison operators reversed (4 sites, isolated copy)",status=Green insufficient=False metric=OMB A-11: CPI 0.909: within threshold,"status=Yellow insufficient=False metric=OMB A-11: CPI 0.909: below threshold, monitor",YES,YES,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,PROVEN
B3.4,models_gov.run_evm_reporting_threshold,"comparison operators reversed (3 sites, isolated copy)","status=Yellow insufficient=False metric=EVM threshold: CPI ok, SPI BREACHED, EAC +10%","status=Yellow insufficient=False metric=EVM threshold: CPI BREACHED, SPI ok, EAC +10%",YES,YES,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,PROVEN
B3.5,models_gov.run_contract_mod_frequency,"comparison operators reversed (7 sites, isolated copy)","status=Amber insufficient=False metric=7 contract modifications, 4.3% scope growth, elevated modification fre","status=Red insufficient=False metric=7 contract modifications, 0% scope growth, contracting officer review ",YES,YES,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,PROVEN
B4.3,models_gov.run_constraint_satisfaction,"comparison operators reversed (7 sites, isolated copy)",status=Yellow insufficient=False metric=3 of 4 constraints satisfied; violated: Schedule constraint (SPI ≥ 0.9,"status=Green insufficient=False metric=1 of 4 constraints satisfied; violated: Cost constraint (CPI ≥ 0.90), ",YES,YES,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,PROVEN
B4.4,models_gov.run_whatif_matrix,"comparison operators reversed (9 sites, isolated copy)","status=Amber insufficient=False metric=Scenario range: 12% of BAC, base EAC $13201k, worst $13896k, best $124","status=None insufficient=True metric=Cost or schedule performance is recorded as zero or below, which no re",YES,YES,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,PROVEN
B4.7,models_gov.run_regret_minimization,,status=None insufficient=True metric=Insufficient data: no set of courses of action scored against defined ,,NO,YES,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,fca4e13653159cac025c20af07b154c8f68388c8bc920827160836aa510b27ce,UNCONDITIONAL_ABSTENTION_NO_FAULT_POSSIBLE
C1.1,models_dq.run_missing_data_index,"comparison operators reversed (3 sites, isolated copy)",status=Green insufficient=False metric=0 of 11 core fields missing (100% complete),status=Red insufficient=False metric=0 of 11 core fields missing (100% complete),YES,YES,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,PROVEN
C1.2,models_dq.run_data_timeliness,"comparison operators reversed (4 sites, isolated copy)",status=Green insufficient=False metric=Last document: 2025-06-30 (0 days ago),"status=Red insufficient=False metric=Last document: 2025-06-30 (0 days ago, data may be stale)",YES,YES,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,PROVEN
C1.3,models_dq.run_source_reliability,"every branch guard inverted (3 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED TypeError,YES,YES,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,PROVEN
C1.4,models_dq.run_audit_trail,"every branch guard inverted (3 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED TypeError,YES,YES,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,PROVEN
C1.5,models_dq.run_info_completeness,"comparison operators reversed (3 sites, isolated copy)",status=Green insufficient=False metric=17 measured + 0 estimated + 2 missing of 19 fields (89% from documents,status=Red insufficient=False metric=17 measured + 0 estimated + 2 missing of 19 fields (89% from documents,YES,YES,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,PROVEN
C1.6,models_dq.run_cross_doc_consistency,"comparison operators reversed (7 sites, isolated copy)",status=Amber insufficient=False metric=2 of 3 cross-document checks consistent (67%); verify figures across u,status=Green insufficient=False metric=1 of 3 cross-document checks consistent (33%),YES,YES,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,PROVEN
C1.7,models_dq.run_reporting_frequency,"every branch guard inverted (3 sites, isolated copy)",status=None insufficient=True metric=Insufficient data: upload required documents,RAISED TypeError,YES,YES,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,335e9510681f2eb3c45ff21a1b21d961929b146fc86b46eb98f1e4d7e823e2de,PROVEN
