priority,module_id,module_name,category,scientific_disposition,voting_status,operational_activation,reason_for_priority,required_action,finding_summary
P1,7.15,Possibility Theory,7,IMPLEMENTATION_DEFECT,non-voting,ADVISORY_ONLY,a canonical method is represented and implemented incorrectly in non-voting analytical evidence,"P1. Normalise the possibility distribution so its supremum is one, and compute necessity as one less the possibility of the complement.","Two properties hold: maxitivity, and necessity never exceeding possibility. The specification's worked possibility and necessity were reproduced independently. But the distribution is NOT NORMALISED. The three degrees are computed by three unrelated formulas and never normalised, so their supremum is whatever those formulas give: across cost and schedule indices from 0.80 to 1.05 the observed suprema are not one. Specification 7.15 names the normalised supremum as the property to test, and a distribution whose supremum is below one is not a normalised possibility distribution. The necessity compounds it: it is computed as the degree less an uncited 0.3, rather than as one less the possibility of the complement, so it is not the necessity of the formalism either and its relationship to the possibility is coincidental."
P1,7.2,Rough Sets,7,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P3. Rename for the supermajority classification it performs, or build an information table with real objects and attributes.","The approximations were reproduced independently on the specification's own universe and partition, including the exactness case where the boundary is empty. Production's structural invariants hold: the lower approximation is contained in the upper, the boundary is exactly their difference, unanimous evidence gives a definite classification, and an empty evidence set abstains rather than producing an indeterminate reading from an invented denominator. But there is no information table. The universe is the four signals, each mapped to a colour by a threshold, and a state enters the lower approximation when more than three quarters of the signals carry it. That is a supermajority vote wearing rough set vocabulary, and specification 7.2 says in terms that a majority vote over states is not rough sets. No object, condition attribute, decision attribute or indiscernibility relation exists. The 0.75 boundary is unsourced."
P1,8.1,ABM Governance Layer,8,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,P3. Rename to the action boundary and authority matrix the specification prefers. The logic needs no change. Consider whether the fairness gate should be built or removed.,"The governance content is sound and is the best-implemented module in this category. The mapping from signal package to action, authority and documentation requirement is deterministic and reproducible, a high-impact action never carries the routine project-level authority, the routine and escalation paths are genuinely distinct, and with no qualified signal package the module abstains rather than recommending anything. The fairness gate is honestly reported as always false, with the reason recorded, so a reader is not shown two escalation paths where one exists. But there is no agent anywhere: no entity with state, no behaviour rule and no interaction rule. Specification 8.1 says this module should be deterministic governance rather than agent-based modelling, names its preferred identity as an action boundary and authority matrix, and states that if the registered name remains an agent-based governance layer while no agents exist the disposition is a label mismatch."
P1,9.6,Cross-document Consistency Score,9,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the implementation performs a materially different method from the registered name,"P2. Carry per-field source records so the same fact can be compared across documents, and rename the present check for the record self-consistency it performs.","The internal consistency checks are real and worthwhile, and one property is especially good: the denominator is the three checks the method is DECLARED over, not the subset the corpus happened to support, so removing the figure that carries a disagreement no longer renormalises the score over the survivors and makes the documents agree. Checks that could not be run are reported separately. But there is no second source anywhere. The module compares figures WITHIN ONE FLAT INPUT: the reported cost index against earned over actual cost, and so on. Specification 9.6 requires the SAME governed fact compared ACROSS REAL SOURCE RECORDS carrying field identity, unit, effective period, revision status and source authority. Two documents genuinely disagreeing about the budget at completion, which is the case the specification is written around, cannot be detected at all. The tolerances of 0.005 and 5 points are literals with no source."
P1,PH.5,Anomaly Score,PH,IMPLEMENTATION_DEFECT,non-voting,ADVISORY_ONLY,a canonical method is represented and implemented incorrectly in non-voting analytical evidence,"P0B in the Run-18 queue: govern the weights so they do not move with data availability, and resolve the recycled retired proxy.","THE WEIGHTS CHANGE WITH DATA AVAILABILITY. The composite is a plain mean over whichever constituents happen to exist, so the presence of a history moves the effective weight of the distance and rank terms from one half to one third. The specification names this exact failure: absence of history must not silently change all other effective weights. It was demonstrated directly, the score moving with no change in the project. TWO FURTHER LINEAGE PROBLEMS. The first constituent is the standardised-distance quantity Run 15 RETIRED from PH.1 for not being an isolation forest; it survives here under a different name and still feeds a participant-visible composite. The second constituent is PH.2's own percentile rank, so the composite re-reports portfolio-position evidence already reported, and this was confirmed numerically. Genuinely good: the Run-14 constant 0.5 placeholder is gone, the score stays in the unit interval, and a more extreme project does not score less anomalous."
P2,1.10,Regression to Mean CPI,1,MISSING_CANONICAL_DATA_STRUCTURE,non-voting,ADVISORY_ONLY,the method is legitimate but the implementation cannot represent the structure it needs,"P2: either supply a governed reference population and estimate w, or rename to self-shrinkage of the project's own history.","The shrinkage arithmetic is correct: the result matches an independent computation of w times the current index plus one minus w times the reference mean, lies between the two, and a flat history is its own fixed point. But the reference mean is the PROJECT'S OWN history, not an outside reference class, and no reference-population field exists on the result. Reference-class shrinkage needs a population the project is not a member of; there is none here, so the canonical structure cannot be represented. The weight is a fixed one half rather than an estimated coefficient."
P2,10.2,Linear Programming,10,MISSING_CANONICAL_DATA_STRUCTURE,non-voting,DISABLED_UNSAFE,the method is legitimate but the implementation cannot represent the structure it needs,Remains disabled and non-voting. If linear programming is ever wanted it needs a decision-variable and constraint structure that does not exist anywhere in the corpus.,"Concept-only and short-circuited before its formula. The Wyndor Glass problem was solved independently by vertex enumeration, not by any solver, reproducing the specification's optimum of two and six with an objective value of thirty-six and the correct pair of binding constraints, and rejecting an infeasible candidate rather than returning it with a violated constraint. Production cannot represent that problem at all: the formula it would run divides remaining work by remaining budget to get a required cost index and calls the result feasible below 1.20 and optimal below 1.00. There is no decision variable, objective function, constraint set or feasible region, and no input through which two variables and three constraints could be supplied. Specification 10.2 states that where the module cannot represent the linear programme the disposition is a missing canonical data structure. The words feasible and optimal are attached to a single ratio."
P2,3.9,Inflation Adjustment Index,3,MISSING_CANONICAL_DATA_STRUCTURE,non-voting,ADVISORY_ONLY,the method is legitimate but the implementation cannot represent the structure it needs,"P2. Source a governed external price index with geography, base period and vintage, or rename the module for the material cost ratio it computes. Decide whether deflation should be visible rather than floored.","The guards are sound: negative material costs are refused rather than floored to exactly nought escalation, progress outside nought to one hundred is refused, a baseline scaled to zero is refused, and withholding progress no longer buys a calmer band. The arithmetic is monotone and exact. But the canonical structure is entirely absent: there is no external index series, no geography, no commodity scope, no base period and no vintage. The module divides the project's own current material cost by its own progress-scaled baseline, which specification 3.9 states is not a macro or regional inflation adjustment. A secondary consequence of the max(0, ...) floor is that a project eighty per cent under its material baseline is indistinguishable from one exactly on it, and both read Green. The module's own sentence calls the figure a proxy, which is honest; the registered name is not."
P2,4.1,Document Risk Score,4,MISSING_CANONICAL_DATA_STRUCTURE,non-voting,ADVISORY_ONLY,the method is legitimate but the implementation cannot represent the structure it needs,"P2. Build a labelled reference corpus and report precision, recall and error analysis. Until then no claim about document risk accuracy is supportable anywhere in the instrument.","The module is registered but is NOT in the server's validated set: asked to compute it, the registry refuses on the ground that it has not been ported and validated. The score nevertheless enters the instrument as an INPUT that several other modules band on, which was verified. Specification 4.1 requires three questions be separated: extraction and classification accuracy, the arithmetic of the scalar aggregation, and the operational banding. Only the arithmetic is testable here. No labelled reference corpus exists anywhere in the repository, so no confusion counts, precision, recall or calibration figures can be produced, and the specification names a labelled corpus as the MINIMUM test for this module. There is also no governed risk taxonomy, evidence span, severity, confidence or coverage attached: one number arrives. The consequence reaches beyond this row, because an unmeasured extraction accuracy propagates into every downstream reading built on the score."
P2,7.18,MARCOS Ranking,7,MISSING_CANONICAL_DATA_STRUCTURE,non-voting,ADVISORY_ONLY,the method is legitimate but the implementation cannot represent the structure it needs,"P2. Supply a real alternative set, as the CRITIC-TOPSIS module now requires. OWNER DECISION on moving the module to Category 10 while keeping its identifier stable.","The published steps were implemented independently and every test the specification asks for passes against that oracle: a dominating alternative ranks first, a dominated one last, identical alternatives score identically, reversing benefit to cost reverses the ranking, and a single alternative is refused as not a ranking. Production's own structural collapse is genuinely fixed and was verified: the two utility degrees no longer sum to one by construction, so the top bands are reachable again and the score is monotone in the criteria. But there is one project and no alternatives. The ideal and anti-ideal are four literal reference points rather than the best and worst of a set, so no ranking is produced and none of the specification's tests can be exercised against production at all. The weights 0.40, 0.35 and 0.25 have no source. PLACEMENT: this method belongs with decision alternatives in Category 10, and the specification asks that be flagged rather than failed."
P2,8.8,Environmental Compliance Rate,8,REGULATORY_VERSION_BLOCKED,non-voting,ADVISORY_ONLY,the conformance rule cannot be evaluated against an identified versioned authority,"P2. Carry the permit authority, jurisdiction and version. Make critical permit violations noncompensatory. Source the bands.","The worst behaviour in this module was already removed and stays removed: how often the environment was raised in a meeting is no longer converted into a compliance percentage, and the module abstains instead. A rate outside nought to a hundred is refused rather than clipped, an audited record with no assessed condition abstains, and the share of assessed conditions recorded compliant is exact and monotone. What blocks it is regulatory: no permit authority, jurisdiction or version is represented anywhere, and specification 8.8 requires environmental applicability to be project, jurisdiction and permit specific with the permit version recorded. The result cannot say which permit it is a conformance rate against. A critical permit violation is also not noncompensatory: the violation count is displayed but does not affect the band, so a project at ninety-six per cent with a critical violation bands Green."
P2,8.9,Contractor Performance Score,8,MISSING_CANONICAL_DATA_STRUCTURE,non-voting,ADVISORY_ONLY,the method is legitimate but the implementation cannot represent the structure it needs,"P2. Carry the official source identifier, assessment period, status and review state, or state plainly that the figures are project-document estimates and not past performance information.","The method is better than the specification's minimum and that should be said plainly: the score is the WORST dimension rather than an average, which is noncompensatory, so raising the other three cannot improve it and a contractor rated badly on quality alone cannot be reported on the strength of the three the assessor was less worried about. An evaluation that did not rate quality is scored on what it did rate and the count of ratings read is reported. Ratings outside the five-point scale are refused. What is absent is the governed record: four bare numbers arrive from document extraction with no source identifier, no assessment period, no status and no review or comment state. FAR Subpart 42.15 governs contractor performance information and CPARS is the official source, and specification 8.9 says in terms not to create an unofficial substitute for it. The reading cannot be tied to an assessment anyone signed. The band boundaries have no cited source."
P2,9.4,Audit Trail Completeness,9,MISSING_CANONICAL_DATA_STRUCTURE,non-voting,ADVISORY_ONLY,the method is legitimate but the implementation cannot represent the structure it needs,"P2. Assess the audit fields of the real signal, judgment and audit objects, treat the critical ones as noncompensatory, and check event chronology and linkage.","The distinction the module does draw correctly is a good one: an absent event log abstains because a caller that supplied none has said nothing, while an empty log is evidence and bands worst. An unrecognised event does not satisfy a required one, and the decision record is reported separately rather than folded into the score. But the canonical structure is absent. The module checks for the presence of two event NAMES in a project event log and counts events. It never opens a signal, judgment or audit object, and never examines a method version, an evidence identity, a judgment identity or a timestamp, which are the mandatory critical fields specification 9.4 names. Because no timestamp is compared to any other, a log in which signals were extracted four months BEFORE the project was created produces an identical reading to a correctly ordered one: neither a chronology violation nor a broken linkage is detectable. The noncompensatory property was verified in the laboratory and cannot be exercised in production because no critical field is represented."
P3,1.1,Monte Carlo EAC,1,METHOD_PASS_CALIBRATION_PENDING,non-voting,ADVISORY_ONLY,the operator is correct and a tunable parameter or band still lacks calibration,Source the Beta-PERT parameters and state whether the uncertain variables are assumed independent.,"Samples a declared stochastic final-cost model, reports an iteration count, a named spread driver and P50 and P80 read off the simulated distribution, and reproduces exactly under a fixed scenario and period seed while moving under a different one. The Beta-PERT mean identity was verified independently at the specification's own worked figures. What is absent is provenance for the distribution parameters and any dependence structure."
P3,1.2,CUSUM Anomaly Monitor,1,METHOD_PASS_CALIBRATION_PENDING,non-voting,ADVISORY_ONLY,the operator is correct and a tunable parameter or band still lacks calibration,Nothing in Run 18. Retuning requires a governed non-synthetic study.,"The two-sided tabular standardised recursion was reproduced independently and behaves as the frozen Run-15 design requires: it signals on a persistent level shift and does not signal on an isolated one-period spike, and both statistics stay non-negative. The Run-15 calibration record is present in the repository and was NOT retuned by this run. The calibration is synthetic, so the operating point is not empirically established."
P3,1.3,Bayesian EAC,1,METHOD_PASS_CALIBRATION_PENDING,non-voting,ADVISORY_ONLY,the operator is correct and a tunable parameter or band still lacks calibration,"Source or elicit the prior and the likelihood variance, or restate the module as a designed sensitivity rather than a Bayesian forecast.","The posterior reproduces the normal-normal identity exactly at a hand calculation, lies between the prior and likelihood means, and its variance is smaller than either input variance. The prior is centred on the budget with a standard deviation of fifteen per cent of it and the likelihood variance is a designed function of the cost index; neither has a source. The algebra is verified; a calibrated-Bayesian claim is not available."
P3,1.4,Kalman Filter SPI Smoother,1,METHOD_PASS_CALIBRATION_PENDING,non-voting,ADVISORY_ONLY,the operator is correct and a tunable parameter or band still lacks calibration,"Estimate or source Q and R, or declare them an owner policy choice.","The scalar random-walk recursion matches an independent implementation of the canonical predict-update step, the specification's worked step reproduces exactly, the smoothed estimate stays inside the observed range and a constant series is a fixed point. Process and measurement noise are the fixed literals 0.01 and 0.1 with no provenance and no calibration procedure, which is exactly the case the specification caps at METHOD_PASS_CALIBRATION_PENDING."
P3,1.9,Budget Execution Rate,1,CORRECT_PROXY_ONLY,non-voting,ADVISORY_ONLY,a coherent transparent indicator published under a name that implies the stronger canonical method,"P2: the bands 1.05, 1.10 and 1.20 are unsourced and should be declared owner policy or calibrated.","Actual cost over a progress-scaled budget, verified against an independent hand calculation, scale invariant, and refusing negative cost and out-of-range progress rather than banding them Green. There is no approved time-phased expenditure profile anywhere in the input contract, so this is the narrower proxy the specification permits, not a comparison against an approved spend curve. The module already carries a proxy qualifier saying so. Its bands have no literature basis and none is claimed."
P3,2.2,Line of Balance,2,THRESHOLD_CALIBRATION_BLOCKED,non-voting,ADVISORY_ONLY,the metric is correct but its operational thresholds have no source or calibration,"Source or calibrate the minimum separation boundaries, or convert them to a declared owner policy. The measurement itself needs no change.","The separation between the leading and following production lines is computed from the structure's own locations, production rates and starts, and reproduces an independent calculation of the same quantity. Crew continuity, the location sequence and the offsets are preserved, the interference case is located at the correct location, and slowing the following line widens the separation as it must. Where no repetitive structure exists the module abstains, which specification 2.2 states is correct. What has no basis is the banding: the boundaries at one and a half and three days are the module's own, and the specification supplies no universal line-of-balance threshold."
P3,2.3,CCPM Buffer Health,2,METHOD_PASS_CALIBRATION_PENDING,non-voting,ADVISORY_ONLY,the operator is correct and a tunable parameter or band still lacks calibration,Record the fever-chart zone rule as a versioned owner policy so it is not read as a literature-derived constant.,"Buffer penetration is consumed over original buffer, read off a sized project buffer and a real critical chain, and matches the specification's worked forty per cent exactly. It is monotone in the buffer remaining and exact at both endpoints. Inferring buffer consumption from the schedule index or percent complete is refused, which is what specification 2.3 forbids. The fever-chart zones move with chain completion rather than being fixed constants, which is the recognised fever-chart convention, but it is a management convention and not a mathematical property of the method."
P3,2.4,Schedule Compression Index,2,OWNER_DECISION_REQUIRED,non-voting,ADVISORY_ONLY,the literature permits alternatives and no governed choice has been made,"OWNER DECISION. Define the metric: either against a governed required completion date, or retire it as a restatement of the schedule performance index.","The declared ratio is arithmetically sound: it is scale invariant under the baseline duration, monotone in schedule performance, exactly one at a project on plan, and it refuses a zero or negative index, a finished project and a reversed baseline. But it reduces exactly to one over the schedule performance index at every value tested, so it carries no information that signal does not already carry, and no governed required completion date is an input, so nothing is being compressed against anything. Specification 2.4 states that where the registry does not define the exact metric the disposition is an owner decision, and it forbids this run from substituting its own example form."
P3,2.5,Float Consumption Rate,2,THRESHOLD_CALIBRATION_BLOCKED,non-voting,ADVISORY_ONLY,the metric is correct but its operational thresholds have no source or calibration,"Source or calibrate the stress boundaries, and name the banded quantity as the progress-normalised stress rather than the consumption rate.","The consumption fraction is consumed over total float and matches the specification's sixty per cent exactly. Float consumed below zero is refused rather than handing float back to the project, no positive total float abstains, and float is never fabricated from percent complete. The quantity the bands actually read is not that fraction but the fraction divided by progress, a progress-normalised stress measure which is a legitimate transparent derivation but a different quantity, and its four boundaries have no source. Note honestly that total float requires a schedule network the corpus does not hold, so this module is expected to abstain in practice."
P3,2.6,S-Curve Deviation,2,CORRECT_PROXY_ONLY,non-voting,ADVISORY_ONLY,a coherent transparent indicator published under a name that implies the stronger canonical method,"Name the composite for what it is, or band the point deviation alone. Source the boundaries either way.","The specification's point deviation, actual cumulative less planned cumulative, is computed exactly and reproduces the worked minus ten percentage points. Its domain is properly closed: a negative planned progress no longer inflates the deviation upward into the calm end of the band, progress above one hundred per cent is refused, and a negative earned value is refused. What the band reads, however, is the mean of that point deviation and a second deviation of earned against planned value. Both parts are transparent, but the average is a composite the specification does not define, and a single snapshot supports only point deviation, not longitudinal S-curve analysis."
P3,2.8,Look-Ahead Schedule Health,2,THRESHOLD_CALIBRATION_BLOCKED,non-voting,ADVISORY_ONLY,the metric is correct but its operational thresholds have no source or calibration,Calibrate the constraint-rate boundaries or convert them to declared owner policy. Govern the look-ahead window length and the definition of constrained.,"The module measures constraint rate, which is exactly one minus the specification's ready fraction, and the complementarity holds at every point tested. It is correctly not confused with percent plan complete. A window with nothing planned in it abstains rather than reading as nothing constrained, more constrained than planned is refused, and the endpoints are exact. The four boundaries have no source and the module's own comment says so: the lean literature's percent plan complete benchmarks measure a different quantity and cannot be stretched to cover this one."
P3,2.9,Resource Loading Index,2,CORRECT_PROXY_ONLY,non-voting,ADVISORY_ONLY,a coherent transparent indicator published under a name that implies the stronger canonical method,"P3. Either carry time-phased demand and capacity, or rename the module for the labour-hours performance ratio it actually computes.","The ratio implemented is arithmetically exact, scale invariant in the unit of labour hours, monotone in hours worked, refuses a zero denominator and refuses negative hours rather than banding Red for the wrong reason. But it is a project-total ratio of actual to planned labour hours, and specification 2.9 states in terms that this is a performance proxy and not a time-phased resource loading model. Planned hours are a budget, not an available capacity, and there is no period dimension anywhere in the input or the output. The proxy is honest; the canonical structure is absent."
P3,3.2,Contingency Burn Rate,3,THRESHOLD_CALIBRATION_BLOCKED,non-voting,ADVISORY_ONLY,the metric is correct but its operational thresholds have no source or calibration,Convert the boundaries to declared owner policy or calibrate them. The arithmetic needs no change.,"Both quantities the specification defines are reproduced exactly: the consumed fraction of forty per cent and the progress-normalised burn of point eight zero. The consumed and remaining shares sum to one hundred, the burn is monotone in the drawdown, and greater progress at fixed consumption lowers the normalised burn as the normalisation intends. A remaining contingency above the original or below zero is refused, nothing complete abstains rather than substituting the raw share, and an impossible progress figure is refused rather than landing in the calm band. What has no basis is the banding: the module's own comment records that no source specifies one, three tenths and one and six tenths for contingency against progress, and that the premise those boundaries rest on, contingency consumed in proportion to progress, is not what the contingency literature describes."
P3,3.3,Labor Productivity Index,3,CORRECT_PROXY_ONLY,non-voting,ADVISORY_ONLY,a coherent transparent indicator published under a name that implies the stronger canonical method,"P3. Either carry measured output quantities and compute output per hour, or rename the module for the earned-hours rate it already discloses.","The implemented ratio is arithmetically exact and correctly guarded: no actual hours abstains, an impossible progress figure is refused rather than reading as the best possible productivity, and all three inputs are required. But the numerator is percent complete times planned hours, which is an hours figure derived from progress, not a measured output quantity. No unit of installed work appears anywhere. Specification 3.3 states that a ratio of hours without earned output is a labour-hours performance proxy and not full productivity. The module names its own output the earned-hours rate, which is an honest disclosure; the registered module name is what overstates it."
P3,3.5,Overhead Absorption Rate,3,CORRECT_PROXY_ONLY,non-voting,ADVISORY_ONLY,a coherent transparent indicator published under a name that implies the stronger canonical method,"P3. Carry an allocation base and compare planned against actual rates, or rename the module for the indirect-cost variance it computes.","The implemented ratio is exact and monotone, and its guards are sound: withholding progress no longer enlarges the denominator and improves the band, a plan scaled to zero is refused rather than substituting a ratio of exactly one, and an impossible progress figure is refused. But no allocation base exists. The module compares two AMOUNTS, actual indirect cost against a progress-scaled indirect plan, where an absorption rate is overhead per unit of an explicit base. The oracle demonstrates the property that separates them: a doubled overhead on a doubled base is no rate variance at all, and this module cannot represent that case because it has no base. Specification 3.5 names the implemented quantity an indirect-cost variance proxy."
P3,4.2,RFI Velocity,4,THRESHOLD_CALIBRATION_BLOCKED,non-voting,ADVISORY_ONLY,the metric is correct but its operational thresholds have no source or calibration,Calibrate the two ladders or convert them to declared owner policy. The measurement needs no change.,"This is the module that gets exposure right, and it is worth naming as the contrast with the change order module in the same category. The rate is a count over a real exposure window, it reproduces the specification's worked figures exactly, it halves when the window doubles, and an absent log period is REQUIRED rather than replaced by thirty days with the finding then stating a span the document never said. The overdue ratio is computed over its own population and reported separately, and the band is the worse of the two so a bad overdue share is not absorbed by a calm velocity. An overdue count outside the total is refused. What has no basis is the banding: the module's own comment records that a count per project or a response time published in the literature is not a per-week rate threshold, and that a normalisation the module does not perform sits between them."
P3,4.3,Submittal Rejection Rate,4,THRESHOLD_CALIBRATION_BLOCKED,non-voting,ADVISORY_ONLY,the metric is correct but its operational thresholds have no source or calibration,Calibrate the bands or convert them to owner policy. Consider declaring the full status taxonomy explicitly rather than by register of origin.,"The rate is rejected over assessed, exactly as specification 4.3 defines it, and reproduces the worked fifteen per cent. The domain is properly closed: a rejected count outside the total is refused rather than producing a rate above one, which every band above the top boundary would silently absorb into the worst band, a negative count is refused, and an empty register abstains. The status taxonomy the specification asks be clarified is partly addressed: the register the population came from is recorded, so a rate over requests for approval and one over submittals are distinguishable, and revise-and-resubmit and open counts are reported beside the rate rather than folded into it. The bands at five, fifteen and twenty-five per cent have no source, and the module's own comment records that rejection depends on what the specification requires and on the reviewer's practice, so no numeric threshold was located."
P3,4.5,Weather Day Impact,4,CORRECT_PROXY_ONLY,non-voting,ADVISORY_ONLY,a coherent transparent indicator published under a name that implies the stronger canonical method,"P3. Either carry the activity linkage and the governing allowance, or name the module for the disruption-days-against-float measure it computes.","Two fabrications were removed and both were verified gone. With no float figure the ratio is no longer set to one, which asserted the worst case as a measurement and made one day lost on a project with a year of float identical to one with none. And lost days inferred by the pipeline rather than counted in a field report are now refused outright, rather than carried into the same arithmetic with a parenthetical, because a qualifier in a display string is not a substitute for refusing. The remaining measure, lost days as a share of the float available to absorb them, is defensible and its guards are complete. But no affected activity, planned work, governing weather allowance, available path or causal linkage exists, so this is weather disruption days against float rather than the full impact claim specification 4.5 defines. The float is network-derived and the corpus has no activity network, so abstention is expected in practice."
P3,4.8,Subcontractor Performance,4,PARAMETER_PROVENANCE_BLOCKED,non-voting,ADVISORY_ONLY,the operator exists but its parameters lack defensible provenance,"P3. Carry the criterion ratings and versioned weights, or state plainly that the figure is an opaque extracted score.","The module correctly refuses to manufacture a score: the browser's derived safety net is not ported, so with no supplied compliance score it abstains rather than inventing one from meeting mentions and document risk. The contributing signals are listed beside the score rather than folded into it, which is honest. But one precomputed compliance score arrives as a scalar and the module reports it. Specification 4.8 states in terms that a precomputed compliance score with unknown construction cannot independently validate this module. No criterion, rating, weight or version exists, so nothing about how the number was formed can be established, and no critical violation can be treated as noncompensatory because no criterion is separable. The oracle demonstrates both the weighted form the specification defines and the noncompensatory check, neither of which this module can express. The four bands have no source."
P3,4.9,Procurement Lead Time Monitor,4,CORRECT_PROXY_ONLY,non-voting,ADVISORY_ONLY,a coherent transparent indicator published under a name that implies the stronger canonical method,P2. Carry item-level required and forecast dates so slack can be computed. Source the 0.5 at-risk weight and the four bands.,"The substantive defect is fixed and was verified exhaustively rather than sampled. The old form counted a delayed item twice, once as at risk and once again at double weight, so ten long-lead items with eight at risk and five delayed produced 1.8, a proportion of a set reported as one hundred and eighty per cent of it. Delayed items are now the subset of at-risk items they are, and the ratio was proved bounded in nought to one across every valid combination of counts up to ten items, exactly one at both endpoints, and monotone in severity. An empty log abstains rather than having a denominator of one invented for it. What is absent is the specification's core quantity: no item, required on-site date or forecast delivery date exists, so no procurement slack can be computed and item criticality, path need date and float cannot enter. It is a coherent aggregate of a procurement log rather than the item-level monitor the name implies."
P3,5.4,Scenario Modeling,5,OWNER_DECISION_REQUIRED,non-voting,ADVISORY_ONLY,the literature permits alternatives and no governed choice has been made,OWNER DECISION on category placement. No arithmetic change is required. Consider whether this module and Category 10.4 and 10.7 should share one decision object.,"The method implemented is correct and independently reproduced: the probability weighted expectation of each action, the cheapest by expectation, and that action's worst scenario. Its guards are the strongest in the instrument and every one was verified. The probabilities must sum to one or no expectation is formed. Every action must have an outcome under every scenario described. The decision object must carry an asset version or a reading taken from it could not be interpreted later. A locked holdout is refused outright, because the point of locking it is that nothing consults it. And the project may not appear in the reference population it is assessed against. With no decision problem it abstains rather than reporting the three-divisor earned-value forecast it used to fall back on. The open question is placement: what it computes is which ACTION to take, and specification 5.4 separates that from this category and assigns it to Category 10. Note the connection: Category 10.4 was found not to produce the action-by-scenario matrix, and this module consumes exactly one."
P3,5.6,Queueing Theory Bottleneck,5,CORRECT_PROXY_ONLY,non-voting,ADVISORY_ONLY,a coherent transparent indicator published under a name that implies the stronger canonical method,"P3. Either carry arrival and service rates so the theory's measures can be derived, or name the module for the queue utilisation measurement it performs.","This module does the single most important thing specification 5.6 asks: at full utilisation it does NOT emit a reassuring steady-state solution, it reports the worst band. And it applies exactly one boundary, the definitional stability condition, inventing no uncited warning level, so it reports two levels rather than four. That is the correct scientific posture and it is rare in this instrument. It abstains without a queue rather than falling back on a share of constrained look-ahead activities, refuses a queue with no servers or window, and refuses one that does not carry a waiting time for every entity that arrived. What it computes is EMPIRICAL utilisation, service time used over server time available, with the observed mean and ninetieth percentile waits. No service rate, queue discipline or derived measure of the theory exists, so Little's Law cannot be checked against it because neither side is computed. It is queue measurement, honestly done, rather than queueing theory."
P3,5.7,Agent-Based Supply Chain,5,CORRECT_PROXY_ONLY,non-voting,ADVISORY_ONLY,a coherent transparent indicator published under a name that implies the stronger canonical method,"P2. Execute the behaviour and interaction rules to produce the state history, or name the module for the agent-state share it reads.","The structural discipline is real and every guard was verified: an agent with no decision rule is refused because agents without rules do not make a model of behaviour, an agent in no interaction group is refused because agents that do not interact are not an agent-based model, a single time step is refused because a model with one step is not a model over time, and a history not covering every agent at the last step is refused rather than forming a share from a partial cohort. This is a large improvement on the procurement-log share it replaced. But the decision rule and the interaction group are required to be present and are then NEVER EXECUTED. The state history is supplied by the caller and the module reads the share of agents not in a normal state at the last step. Identical rules with a different supplied history give a different answer, and identical histories with different rules give the same one. The oracle replays the specification's minimum model by actually firing the rules, which is the difference. The band boundaries have no source."
P3,6.3,Majority Rules,6,METHOD_PASS_CALIBRATION_PENDING,non-voting,ADVISORY_ONLY,the operator is correct and a tunable parameter or band still lacks calibration,"P2: declare a quorum and a lineage rule. Category 6 must synthesise already qualified signal states and must not vote on raw cost, schedule or document-risk values. All four ensembles read the assembled primary signals directly, so the Qualified Evidence boundary is not enforced.","The count reproduces the specification's worked answer, and the tie policy is both explicit in effect and conservative: an even split resolves to the more severe state, which was verified directly. Missing signals are not counted as Green and unknown strings are not counted at all. Two gaps, neither arithmetic. No minimum quorum is declared, so a single surviving signal decides the ensemble, which was demonstrated. And duplicating one signal changes the count, so correlated transforms of one piece of evidence each get a vote."
P3,7.1,Dempster-Shafer,7,METHOD_PASS_CALIBRATION_PENDING,non-voting,ADVISORY_ONLY,the operator is correct and a tunable parameter or band still lacks calibration,P2: elicit or source the mass table; declare and enforce a source-independence rule before combination.,"The combination rule is canonical and was verified against an independent implementation over explicit focal SETS. Ignorance is handled correctly: the frame intersects every state instead of conflicting with it, so the specification's worked combination reproduces exactly at mass 0.8 on the singleton, 0.2 on the frame and a conflict coefficient of zero. Belief and plausibility, the reliability discount and its normalisation, commutativity and the admissibility of every declared mass row all hold. Total conflict is flagged with a coefficient of one and yields no decidable verdict, since every state carries equal mass. TWO REAL LIMITS. The mass table is a set of designed constants with no elicitation or calibration behind them. And Dempster's rule assumes independent sources: combining a source with an identical copy sharpens belief beyond the original, which is exactly the hazard when several correlated transforms of one cost index are combined."
