module_id,canonical_name,current_canonical_route,execution_state,qualification_state,required_structure,structure_supplied_on_corpus,computed,abstained,abstention_reason,calibration_status,empirical_validation_status,voting,project_status_influence,evidence_lineage_state,final_defensibility_statement,faults,result
B2.11,Picture Fuzzy Sets,app.simulation.models_cat7.run_picture_fuzzy,ABSTAINS,ADVISORY_ONLY,pictureFuzzyAssessment,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.12,Hesitant Fuzzy Sets,app.simulation.models_cat7.run_hesitant_fuzzy,ABSTAINS,ADVISORY_ONLY,hesitantFuzzyAssessment,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.13,Type-2 Fuzzy Sets,app.simulation.models_cat7.run_type2_fuzzy,ABSTAINS,ADVISORY_ONLY,type2FuzzyAssessment,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.14,Maximum Entropy,app.simulation.models_cat7.run_maximum_entropy,ABSTAINS,ADVISORY_ONLY,maximumEntropyProblem,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.15,Possibility Theory,app.simulation.models_cat7.run_possibility_theory,ABSTAINS,ADVISORY_ONLY,possibilityAssessment,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.16,Spherical Fuzzy Sets,app.simulation.models_cat7.run_spherical_fuzzy,ABSTAINS,ADVISORY_ONLY,sphericalFuzzyAssessment,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.17,Fermatean Fuzzy Sets,app.simulation.models_cat7.run_fermatean_fuzzy,ABSTAINS,ADVISORY_ONLY,fermateanFuzzyAssessment,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.18,MARCOS Ranking,app.simulation.models_cat7.run_marcos,ABSTAINS,ADVISORY_ONLY,decisionAlternatives,NO - the controlled corpus carries no governed structure,NO,YES,canonical_decision_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.19,CRITIC-TOPSIS,app.simulation.models_cat7.run_critic_topsis,ABSTAINS,ADVISORY_ONLY,decisionAlternatives,NO - the controlled corpus carries no governed structure,NO,YES,canonical_decision_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.2,Rough Sets,app.simulation.models_cat7.run_rough_sets_classification,ABSTAINS,ADVISORY_ONLY,roughDecisionTable,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.20,Hypersoft Sets,app.simulation.models_cat7.run_hypersoft_sets,ABSTAINS,DISABLED_UNSAFE,hypersoftLabStructure,NO - the controlled corpus carries no governed structure,NO,YES,Hypersoft Sets is disabled for operational use: it is held as research only and produces no reading for any project. A complete set of attribute combinations does not change that.,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_NOT_APPLICABLE,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",NONE,PASS
B2.3,Neutrosophic Logic,app.simulation.models_cat7.run_neutrosophic_logic,ABSTAINS,ADVISORY_ONLY,neutrosophicAssessment,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.4,Interval Fuzzy Sets,app.simulation.models_cat7.run_interval_fuzzy_sets,ABSTAINS,ADVISORY_ONLY,intervalFuzzyAssessment,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.5,Z-numbers,app.simulation.models_cat7.run_z_numbers,ABSTAINS,ADVISORY_ONLY,zNumberAssessment,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.6,PLTS,app.simulation.models_cat7.run_plts,ABSTAINS,ADVISORY_ONLY,probabilisticLinguisticAssessment,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.7,Plithogenic Sets,app.simulation.models_cat7.run_plithogenic_sets,ABSTAINS,DISABLED_UNSAFE,plithogenicLabStructure,NO - the controlled corpus carries no governed structure,NO,YES,"Plithogenic Sets is disabled for operational use: it is held as research only and produces no reading for any project. A complete set of assessed degrees does not change that, beca",NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_NOT_APPLICABLE,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",NONE,PASS
B2.8,Belief Rule Base,app.simulation.models_cat7.run_belief_rule_base,ABSTAINS,ADVISORY_ONLY,beliefRuleBase,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B2.9,Quantum Probability,app.simulation.models_cat7.run_quantum_probability,ABSTAINS,DISABLED_UNSAFE,none,n/a,NO,YES,Quantum Probability is archived and disabled for operational use: it is kept as part of the research record and produces no reading for any project. Restoring it would require evid,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_NOT_APPLICABLE,"historical implementation and scientific record are preserved, but the method is not a runnable current capability",NONE,PASS
B3.1,Agent-Based Governance Model,app.simulation.models_cat89.run_B3_1,ABSTAINS,ADVISORY_ONLY,abmGovernanceModel,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B3.2,FAR/Agency EVMS Applicability Monitor,app.simulation.models_cat89.run_B3_2,ABSTAINS,ADVISORY_ONLY,evmsApplicabilityEvidence,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B3.3,Versioned A-11 Capital Programming Conformance Check,app.simulation.models_cat89.run_B3_3,ABSTAINS,ADVISORY_ONLY,a11RuleRegister,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B3.4,EVMS Reporting Compliance Monitor,app.simulation.models_cat89.run_B3_4,ABSTAINS,ADVISORY_ONLY,evmsReportingRecord,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B3.5,Contract Modification Governance Check,app.simulation.models_cat89.run_B3_5,ABSTAINS,ADVISORY_ONLY,contractModificationRegister,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B4.1,Multi-Objective Optimization,app.simulation.models_cat10.run_B4_1,ABSTAINS,DISABLED_UNSAFE,decisionAlternatives,NO - the controlled corpus carries no governed structure,NO,YES,"Multi-Objective Optimization is disabled: it is a concept-only module with no production implementation of the analytical structure its name claims. Not executed, not voting, exclu",NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_NOT_APPLICABLE,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",NONE,PASS
B4.2,Linear Programming,app.simulation.models_cat10.run_B4_2,ABSTAINS,DISABLED_UNSAFE,linearProgramModel,NO - the controlled corpus carries no governed structure,NO,YES,"Linear Programming is disabled: it is a concept-only module with no production implementation of the analytical structure its name claims. Not executed, not voting, excluded from e",NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_NOT_APPLICABLE,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",NONE,PASS
B4.3,Constraint Satisfaction Analysis,app.simulation.models_cat10.run_B4_3,ABSTAINS,ADVISORY_ONLY,constraintSatisfactionProblem,NO - the controlled corpus carries no governed structure,NO,YES,canonical_decision_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B4.4,What-If Scenario Matrix,app.simulation.models_cat10.run_B4_4,ABSTAINS,ADVISORY_ONLY,actionScenarioMatrix,NO - the controlled corpus carries no governed structure,NO,YES,canonical_decision_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
B4.5,Decision Sensitivity Matrix,app.simulation.models_cat10.run_B4_5,ABSTAINS,DISABLED_UNSAFE,decisionSensitivityModel,NO - the controlled corpus carries no governed structure,NO,YES,"Decision Sensitivity Matrix is disabled: it is a concept-only module with no production implementation of the analytical structure its name claims. Not executed, not voting, exclud",NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_NOT_APPLICABLE,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",NONE,PASS
B4.6,Pareto Frontier Analysis,app.simulation.models_cat10.run_B4_6,ABSTAINS,DISABLED_UNSAFE,decisionAlternatives,NO - the controlled corpus carries no governed structure,NO,YES,"Pareto Frontier Analysis is disabled: it is a concept-only module with no production implementation of the analytical structure its name claims. Not executed, not voting, excluded ",NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_NOT_APPLICABLE,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",NONE,PASS
B4.7,Minimax Regret Decision Rule,app.simulation.models_cat10.run_B4_7,ABSTAINS,ADVISORY_ONLY,actionScenarioMatrix,NO - the controlled corpus carries no governed structure,NO,YES,canonical_decision_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
C1.1,Missing Data Index,app.simulation.models_cat89.run_C1_1,ABSTAINS,ADVISORY_ONLY,requiredInputContract,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
C1.2,Data Timeliness Score,app.simulation.models_cat89.run_C1_2,ABSTAINS,ADVISORY_ONLY,evidenceTimelinessRecord,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
C1.3,Source Reliability Weighting,app.simulation.models_cat89.run_C1_3,ABSTAINS,ADVISORY_ONLY,sourceProvenanceRecord,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
C1.4,Audit Trail Completeness,app.simulation.models_cat89.run_C1_4,ABSTAINS,ADVISORY_ONLY,auditChainRecord,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
C1.5,Information Completeness Ratio,app.simulation.models_cat89.run_C1_5,ABSTAINS,ADVISORY_ONLY,informationPackageRecord,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
C1.6,Cross-document Consistency Score,app.simulation.models_cat89.run_C1_6,ABSTAINS,ADVISORY_ONLY,crossDocumentFactSet,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
C1.7,Reporting Frequency Index,app.simulation.models_cat89.run_C1_7,ABSTAINS,ADVISORY_ONLY,reportingCadenceRecord,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
D1.1,Isolation Forest,app.simulation.canonical_v8 (Isolation_Forest),PORTFOLIO_ROUTE,ADVISORY_ONLY,portfolioCohort,NO - the controlled corpus carries no governed structure,NO,NO,,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,NONE,PASS
D1.2,Portfolio Outlier Detection,app.simulation.canonical_v8 (Portfolio_Outlier),PORTFOLIO_ROUTE,ADVISORY_ONLY,portfolioCohort,NO - the controlled corpus carries no governed structure,NO,NO,,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,NONE,PASS
D1.3,Signal Trajectory Classifier,app.simulation.canonical_v8 (Trajectory_Classifier),PORTFOLIO_ROUTE,ADVISORY_ONLY,portfolioSignalHistory,NO - the controlled corpus carries no governed structure,NO,NO,,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,NONE,PASS
D1.4,Cross-project Pattern Detector,app.simulation.canonical_v8 (Cross_Project_Pattern),PORTFOLIO_ROUTE,ADVISORY_ONLY,portfolioCohort,NO - the controlled corpus carries no governed structure,NO,NO,,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,NONE,PASS
D1.5,Anomaly Score,app.simulation.canonical_v8 (Anomaly_Score),PORTFOLIO_ROUTE,ADVISORY_ONLY,portfolioCohort,NO - the controlled corpus carries no governed structure,NO,NO,,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,NONE,PASS
ACCEPTANCE_COUNTER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FALSE DEFENSIBILITY STATEMENTS,0,PASS
ACCEPTANCE_COUNTER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,CONDITIONAL PRESENTED AS UNCONDITIONAL,0,PASS
ACCEPTANCE_COUNTER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ABSTENTIONS PRESENTED AS COMPUTATIONS,0,PASS
ACCEPTANCE_COUNTER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DISABLED OR ARCHIVED PRESENTED AS OPERATIONAL,0,PASS
ACCEPTANCE_COUNTER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SYNTHETIC CALIBRATION PRESENTED AS EMPIRICAL VALIDATION,0,PASS
