module_id,module_name,browser_code_path,server_code_path,prior_divergence,live_browser_computation_removed,server_value_source,parity_test,result
B3.3,OMB A-11 Check,assets/js/simulations.js:runOMBA11Check,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B3.4,EVM Reporting Threshold,assets/js/simulations.js:runEVMReportingThreshold,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B3.5,Contract Modification Frequency,none,server/app/simulation/models_gov.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B4.1,Multi-Objective Optimization,assets/js/simulations.js:runMultiObjectiveOptimization,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B4.2,Linear Programming,assets/js/simulations.js:runLinearProgramming,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B4.3,Constraint Satisfaction Analysis,assets/js/simulations.js:runConstraintSatisfaction,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B4.4,What-If Scenario Matrix,none,server/app/simulation/models_gov.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B4.5,Decision Sensitivity Matrix,assets/js/simulations.js:runDecisionSensitivity,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B4.6,Pareto Frontier Analysis,assets/js/simulations.js:runParetoFrontier,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
B4.7,Regret Minimization Index,assets/js/simulations.js:runRegretMinimization,server/app/simulation/models_gov.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
C1.1,Missing Data Index,assets/js/simulations.js:runMissingDataIndex,server/app/simulation/models_dq.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
C1.2,Data Timeliness Score,assets/js/simulations.js:runDataTimeliness,server/app/simulation/models_dq.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
C1.3,Source Reliability Weighting,assets/js/simulations.js:runSourceReliability,server/app/simulation/models_dq.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
C1.4,Audit Trail Completeness,assets/js/simulations.js:runAuditTrailCompleteness,server/app/simulation/models_dq.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
C1.5,Information Completeness Ratio,none,server/app/simulation/models_dq.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
C1.6,Cross-document Consistency Score,none,server/app/simulation/models_dq.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
C1.7,Reporting Frequency Index,assets/js/simulations.js:runReportingFrequency,server/app/simulation/models_dq.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
D1.1,Isolation Forest,none,server/app/simulation/ (registry short circuit or canonical.py),no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
D1.2,Portfolio Outlier Detection,none,server/app/simulation/ (registry short circuit or canonical.py),no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
D1.3,Signal Trajectory Classifier,none,server/app/simulation/ (registry short circuit or canonical.py),no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
D1.4,Cross-project Pattern Detector,none,server/app/simulation/ (registry short circuit or canonical.py),no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
D1.5,Anomaly Score,none,server/app/simulation/ (registry short circuit or canonical.py),no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
